"Sortierfeld_Title","Title","Format","Title No.","Title No Electronic Journal version","Title No. Print Incl. ""Enhanced Access""","ISSN print","ISSN electronic","Publisher","Language","Vols Qty","Scheduled Vol Nos","Issues per vol","Currency","Institutional Rate Print incl. Free Access or E-Only","Currency","Institutional Rate incl. Enhanced Access","Price for Postage & Handling","Status","Comments","Dispatch included"
"Aquatic Sciences ","Aquatic Sciences","P E OF",27,"027E","027N","1015-1621","1420-9055","Birkhäuser Verlag Basel","E",1,72,4,"USD",749,"USD",898.8,42,,,
"Arabian Journal Geosciences","Arabian Journal of Geosciences","P E OF",12517,"12517E","12517N","1866-7511","1866-7538","Springer Berlin Heidelberg","E",1,3,4,"USD",597,"USD",716.4,28,,"More content! ",
"Archaeological Anthropological Sciences","Archaeological and Anthropological Sciences","E OF",12520,"12520E","12520N","1866-9557","1866-9565","Springer Berlin Heidelberg","E",1,2,4,"USD",537,,,,"New in 2009","New start in 2009. Only available in electronic format. ",
"Archaeologies","Archaeologies","P E OF A",11759,"11759E","11759N","1555-8622","1935-3987","Springer US","E",1,6,3,"USD",257,"USD",308.4,21,,,
"Architektur aktuell","architektur aktuell","P",732,"732E","732N","0570-6602",,"Springer Wien","D/E",1,44,12,"USD",150,,,120,,"No electronic version available. ",
"Archiv Mathematik","Archiv der Mathematik","P E OF",13,"013E","013N","0003-889X","1420-8938","Birkhäuser Verlag Basel","E",2,"94+95",6,"USD",1074,"USD",1288.8,120,,,
"Archival Science","Archival Science","P E OF",10502,"10502E","10502N","1389-0166","1573-7519","Springer Netherlands","E",1,10,4,"USD",402,"USD",482.4,28,,,
"Archive Applied Mechanics","Archive of Applied Mechanics","P E",419,"419E","419N","0939-1533","1432-0681","Springer Berlin Heidelberg","E",1,80,12,"USD",2749,"USD",3298.8,120,,,
"Archive History Exact Sciences","Archive for History of Exact Sciences","P E OF",407,"407E","407N","0003-9519","1432-0657","Springer Berlin Heidelberg","E",1,64,6,"USD",1325,"USD",1590,60,,,
"Archive Mathematical Logic","Archive for Mathematical Logic","P E OF",153,"153E","153N","0933-5846","1432-0665","Springer Berlin Heidelberg","E",1,49,8,"USD",1301,"USD",1561.2,80,,,
"Archive Rational Mechanics Analysis","Archive for Rational Mechanics and Analysis","P E OF",205,"205E","205N","0003-9527","1432-0673","Springer Berlin Heidelberg","E",4,"195-198",3,"USD",3871,"USD",4645.2,120,,,
"Archives Computational Methods in Engineering","Archives of Computational Methods in Engineering","P E OF",11831,"11831E","11831N","1134-3060","1886-1784","Springer Netherlands","E",1,17,4,"USD",510,"USD",612,28,,,
"Archives Dermatological Research","Archives of Dermatological Research","P E OF",403,"403E","403N","0340-3696","1432-069X","Springer Berlin Heidelberg","E",1,302,10,"USD",1786,"USD",2143.2,100,,,
"Archives Environmental Contamination","Archives of Environmental Contamination and Toxicology","P E OF",244,"244E","244N","0090-4341","1432-0703","Springer New York","E",2,"58+59",4,"USD",1666,"USD",1999.2,56,,,
"Archives Gynecology Obstetrics","Archives of Gynecology and Obstetrics","P E OF",404,"404E","404N","0932-0067","1432-0711","Springer Berlin Heidelberg","E",2,"281+282",6,"USD",2602,"USD",3122.4,120,,"More content! ",
"Archives Microbiology","Archives of Microbiology","P E OF S",203,"203E","203N","0302-8933","1432-072X","Springer Berlin Heidelberg","E",1,192,12,"USD",4677,"USD",5612.4,120,,,
"Archives of Pharmacal Research","Archives of Pharmacal Research","P E ",12272,"12272E","12272N","0253-6269","1976-3786","Pharmaceutical Society of Korea, co-published with Springer","E",1,33,12,"USD",1556,"USD",1867.2,84,,"Exclusive distribution rights for print version outside Korea, for electronic version worldwide. More content! ",
"Archives Orthopaedic Trauma Surgery","Archives of Orthopaedic and Trauma Surgery","P E OF",402,"402E","402N","0936-8051","1434-3916","Springer Berlin Heidelberg","E",1,130,12,"USD",3626,"USD",4351.2,100,,"More content! ",
"Archives Osteoporosis","Archives of Osteoporosis","E OF",11657,"11657E","11657N","1862-3522","1862-3514","Springer London","E",1,5,2,"USD",267,,,,,"Only available in electronic format. ",
"Archives Sexual Behavior","Archives of Sexual Behavior","P E OF",10508,"10508E","10508N","0004-0002","1573-2800","Springer US","E",1,39,6,"USD",1692,"USD",2030.4,42,,"More content! ",
"Archives Toxicology","Archives of Toxicology","P E OF S",204,"204E","204N","0340-5761","1432-0738","Springer Berlin Heidelberg","E",1,84,12,"USD",4004,"USD",4804.8,120,,"More content! ",
"Archives Virology","Archives of Virology","P E OF",705,"705E","705N","0304-8608","1432-8798","Springer Wien","E",1,155,12,"USD",4508,"USD",5409.6,120,,,
"Archives Women's Mental Health","Archives of Women's Mental Health","P E OF",737,"737E","737N","1434-1816","1435-1102","Springer Wien","E",1,13,6,"USD",499,"USD",598.8,60,,,
"Archivio ortopedia reumatologia","Archivio di Ortopedia e Reumatologia","P E",10261,"10261E","10261N","0390-7368","1592-7113","Springer Milan","It",1,121,4,"USD",101,"USD",121.2,40,,,
"Archivum Immunologiae Therapiae Experimentalis","Archivum Immunologiae et Therapiae Experimentalis","P E OF",5,"005E","005N","0004-069X","1661-4917","Birkhäuser Verlag Basel","E",1,58,6,"USD",403,"USD",483.6,42,,,
"Argospine News","ArgoSpine News & Journal","P E",12240,"12240E","12240N","1957-7729","1957-7737","Springer Paris","E",1,22,4,"USD",208,"USD",249.6,28,,,
"Argumentation","Argumentation","P E OF",10503,"10503E","10503N","0920-427X","1572-8374","Springer Netherlands","E",1,24,4,"USD",549,"USD",658.8,28,,,
"Arkiv Matematik","Arkiv för Matematik","P E OF",11512,"11512E","11512N","0004-2080","1871-2487","Springer Netherlands","E",1,48,2,"USD",153,"USD",183.6,14,,,
"Arthropod Plant Interactions","Arthropod-Plant Interactions","P E OF S",11829,"11829E","11829N","1872-8855","1872-8847","Springer Netherlands","E",1,4,4,"USD",437,"USD",524.4,28,,,
"Arthroskopie","Arthroskopie","P E OF",142,"142E","142N","0933-7946","1434-3924","Springer Berlin Heidelberg","D",1,23,4,"USD",430,"USD",516,40,,,
"Artificial Intelligence Law","Artificial Intelligence and Law","P E OF",10506,"10506E","10506N","0924-8463","1572-8382","Springer Netherlands","E",1,18,4,"USD",602,"USD",722.4,28,,,
"Artificial Intelligence Review","Artificial Intelligence Review","P E OF",10462,"10462E","10462N","0269-2821","1573-7462","Springer Netherlands","E",2,"33+34",4,"USD",840,"USD",1008,56,,,
"Artificial Life Robotics","Artificial Life and Robotics","P E",10015,"10015E","10015N","1433-5298","1614-7456","Springer Japan","E",1,15,4,"USD",507,"USD",608.4,28,,"More content! ",
"ÄrzteWoche","ÄrzteWoche","P",11636,"11636E","11636N","1862-7137",,"Springer Wien","D",1,24,52,"USD",71,,,52,,"No electronic version available. ",
"Asia Pacific Education Review","Asia Pacific Education Review","P E OF",12564,"12564E","12564N","1598-1037","1876-407X","Springer Netherlands","E",1,11,4,"USD",299,"USD",358.8,28,"New in 2009","Take-over in 2009. ",
"Asia Pacific Journal Management","Asia Pacific Journal of Management","P E OF",10490,"10490E","10490N","0217-4561","1572-9958","Springer US","E",1,27,4,"USD",452,"USD",542.4,28,,,
"Asia-Europe Journal","Asia Europe Journal","P E",10308,"10308E","10308N","1610-2932","1612-1031","Springer Berlin Heidelberg","E",1,8,4,"USD",216,"USD",259.2,28,,,
"Asian Journal Criminology","Asian Journal of Criminology","P E OF",11417,"11417E","11417N","1871-0131","1871-014X","Springer Netherlands","E",1,5,2,"USD",320,"USD",384,14,,,
"Asia-Pacific Financial Markets","Asia-Pacific Financial Markets","P E OF",10690,"10690E","10690N","1387-2834","1573-6946","Springer US","E",1,17,4,"USD",580,"USD",696,28,,,
"Asia-Pacific Journal Atmospheric Sciences","Asia-Pacific Journal of Atmospheric Sciences","P E OF",13143,"13143E","13143N","1976-7633","1976-7951","Korean Meteorological Society, co-published with Springer","E",1,46,4,"USD",479,"USD",574.8,28,"New in 2010","Take-Over Sales Co-operation in 2010. Former publisher: Korean Meteorological Society. Exclusive distribution rights for print version outside Korea, for electronic version worldwide. ",
"AStA Advances Statistical Analysis","AStA Advances in Statistical Analysis","P E OF",10182,"10182E","10182N","1863-8171","1863-818X","Springer Berlin Heidelberg","E",1,94,4,"USD",257,"USD",308.4,40,,,
"AStA Wirtschafts Sozialstatistisches Archiv","AStA Wirtschafts- und Sozialstatistisches Archiv","P E OF",11943,"11943E","11943N","1863-8155","1863-8163","Springer Berlin Heidelberg","D/E",1,4,4,"USD",206,"USD",247.2,28,,,
"ästhetische dermatologie kosmetologie","ästhetische dermatologie & kosmetologie","P",12634,"12634E","12634N","1867-481X",,"Springer Berlin Heidelberg","D",1,2,6,"USD",382,,,42,"New in 2009","New start in 2009. No electronic version available. ",
"Astronomy Astrophysics Review","The Astronomy and Astrophysics Review","P E OF",159,"159E","159N","0935-4956","1432-0754","Springer Berlin Heidelberg","E",1,18,4,"USD",467,"USD",560.4,40,,,
"Astronomy Letters","Astronomy Letters","P E",11443,"11443E","11443N","1063-7737","1562-6873","MAIK Nauka/Interperiodica","E",1,36,12,"USD",2703,"USD",3243.6,84,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. See also combined subscription Astronomy Letters/Astronomy Reports. ",
"Astronomy Reports","Astronomy Reports","P E",11444,"11444E","11444N","1063-7729","1562-6881","MAIK Nauka/Interperiodica","E",1,54,12,"USD",4155,"USD",4986,84,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. See also combined subscription Astronomy Letters/Astronomy Reports. ",
"Astronomy Reports with Letters combi","Astronomy Letters/Astronomy Reports","P E OF",11591,"11591E","11591N",,,"MAIK Nauka/Interperiodica","E",,,,"USD",5485,"USD",6582,168,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. Combined subscription. ",
"Astrophysical Bulletin","Astrophysical Bulletin","P E OF",11755,"11755E","11755N","1990-3413","1990-3421","MAIK Nauka/Interperiodica","E",1,65,4,"USD",825,"USD",990,28,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Astrophysics","Astrophysics","P E",10511,"10511E","10511N","0571-7256","1573-8191","Springer US","E",1,53,4,"USD",3200,"USD",3840,28,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Astrophysics Space Science","Astrophysics and Space Science","P E OF",10509,"10509E","10509N","0004-640X","1572-946X","Springer Netherlands","E",6,"325-330",2,"USD",4514,"USD",5416.8,84,,"Note: While number of issues is reduced the number of pages per volume is kept constant. ",
"Atlantic Economic Journal","Atlantic Economic Journal","P E OF",11293,"11293E","11293N","0197-4254","1573-9678","Springer US","E",1,38,4,"USD",347,"USD",416.4,28,,,
"Atmospheric Oceanic Optics","Atmospheric and Oceanic Optics","P E",12605,"12605E","12605N","1024-8560","2070-0393","MAIK Nauka/Interperiodica","E",1,23,6,"USD",1025,"USD",1230,42,"New in 2009","Take-Over Sales Co-operation in 2009. Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Atomic Energy","Atomic Energy","P E",10512,"10512E","10512N","1063-4258","1573-8205","Springer US","E",2,"108+109",6,"USD",4466,"USD",5359.2,84,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Australasian Physical Engineering Sciences in Medicine","Australasian Physical & Engineering Sciences in Medicine","P E OF",13246,"13246E","13246N","0158-9938","1879-5447","Springer Netherlands","E",1,33,4,"USD",270,"USD",324,28,"New in 2010","Take-over in 2010. Former publisher: Australasian College of Physical Scientists and Engineers in Medicine. Addendum Journals Price List. ",
"Automated Software Engineering","Automated Software Engineering","P E OF",10515,"10515E","10515N","0928-8910","1573-7535","Springer US","E",1,17,4,"USD",763,"USD",915.6,28,,,
"Automatic Control Computer Science","Automatic Control and Computer Sciences","P E ",11950,"11950E","11950N","0146-4116","1558-108X","Allerton Press","E",1,44,7,"USD",2892,"USD",3470.4,49,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. More content! ",
"Automatic Documentation Mathematical Linguistics","Automatic Documentation and Mathematical Linguistics","P E ",11952,"11952E","11952N","0005-1055","1934-8371","Allerton Press","E",1,44,6,"USD",2770,"USD",3324,42,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Automation Remote Control","Automation and Remote Control","P E",10513,"10513E","10513N","0005-1179","1608-3032","MAIK Nauka/Interperiodica","E",1,71,12,"USD",5512,"USD",6614.4,84,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. More content! ",
"Autonomous Agents Multi-Agent Systems","Autonomous Agents and Multi-Agent Systems","P E OF",10458,"10458E","10458N","1387-2532","1573-7454","Springer US","E",2,"20+21",3,"USD",999,"USD",1198.8,42,,,
"Autonomous Robots","Autonomous Robots","P E OF",10514,"10514E","10514N","0929-5593","1573-7527","Springer US","E",2,"28+29",4,"USD",1212,"USD",1454.4,56,,,
"Axiomathes","Axiomathes","E OF",10516,"10516E","10516N","1122-1151","1572-8390","Springer Netherlands","E",1,20,4,"USD",431,,,,,"Only available in electronic format. ",
"Bankarchiv","BankArchiv","P",743,"743E","743N","1015-1516",,"Springer Wien","D",1,58,12,"USD",189,,,120,,"No electronic version available. ",
"Basic Research Cardiology","Basic Research in Cardiology","P E OF S",395,"395E","395N","0300-8428","1435-1803","Steinkopff","E",1,105,6,"USD",2055,"USD",2466,60,,,
"Baurechtliche Blätter: bbl","Baurechtliche Blätter: bbl","P E",738,"738E","738N","1434-1832","1613-7612","Springer Wien","D",1,13,6,"USD",123,"USD",147.6,60,,,
"Behavior Genetics","Behavior Genetics","P E OF",10519,"10519E","10519N","0001-8244","1573-3297","Springer US","E",1,40,6,"USD",1502,"USD",1802.4,42,,,
"Behavioral Ecology Sociobiology","Behavioral Ecology and Sociobiology","P E OF S",265,"265E","265N","0340-5443","1432-0762","Springer Berlin Heidelberg","E",1,64,12,"USD",4864,"USD",5836.8,120,,,
"Berliner Journal Soziologie","Berliner Journal für Soziologie","E",11609,"11609E","11609N","0863-1808","1862-2593","VS Verlag für Sozialwissenschaften / GWV Fachverlage GmbH","D",1,20,4,"USD",310,,,,,"SpringerLink licensing permitted. Print and online subscriptions processed by VS Verlag für Sozialwissenschaften. Only available in electronic format. ",
"Beroep: docent","Beroep: docent","P E",12409,"12409E","12409N","1875-2004","1876-4657","Bohn Stafleu van Loghum","NL",,,,,,,,,"No longer published/distributed by Springer","Erratum Journals Price List. Ceased publication after completion of issue 6/2008. Order through Bohn Stafleu van Loghum. Please contact Bohn Stafleu van Loghum for price and ordering information. ",
"Best Practice Oncologie","Best Practice Onkologie","P E OF",11654,"11654E","11654N","0946-4565","1862-8559","Springer Berlin Heidelberg","D",1,5,6,"USD",219,"USD",262.8,42,,,
"Best Practices Zorg","Best Practices Zorg","P",12411,"12411E","12411N","1876-0171",,"Bohn Stafleu van Loghum","NL",1,2010,4,,,,,,,"Order through Bohn Stafleu van Loghum. Please contact Bohn Stafleu van Loghum for price and ordering information. No electronic version available. ",
"Best Practices Zorg -Actueel","Best Practices Zorg -Actueel","P",12412,"12412E","12412N","1876-0163",,"Bohn Stafleu van Loghum","NL",1,2010,4,,,,,,,"Order through Bohn Stafleu van Loghum. Please contact Bohn Stafleu van Loghum for price and ordering information. No electronic version available. ",
"BHM  Berg- Hüttenmännische Monatshefte","BHM Berg- und Hüttenmännische Monatshefte","P E OF",501,"501E","501N","0005-8912","1613-7531","Springer Wien","D",1,155,12,"USD",430,"USD",516,120,,,
"Bijblijven","Bijblijven","P E",12414,"12414E","12414N","0168-9428","1876-4916","Bohn Stafleu van Loghum","NL",1,2010,10,,,,,,,"Order through Bohn Stafleu van Loghum. Please contact Bohn Stafleu van Loghum for price and ordering information. ",
"Bijzijn","Bijzijn","P",12415,"12415E","12415N","1871-7268",,"Bohn Stafleu van Loghum","NL",1,2010,11,,,,,,,"Order through Bohn Stafleu van Loghum. Please contact Bohn Stafleu van Loghum for price and ordering information. No electronic version available. ",
"Bioanalytical Reviews","Bioanalytical Reviews","P E OF",12566,"12566E","12566N","1867-2086","1867-2094","Springer Wien","E",1,2,4,"USD",946,"USD",1135.2,28,"New in 2009","New start in 2009. ",
"Biochemical Genetics","Biochemical Genetics","P E OF",10528,"10528E","10528N","0006-2928","1573-4927","Springer US","E",1,48,12,"USD",1560,"USD",1872,84,,,
"Biochemistry (Moscow)","Biochemistry (Moscow)","P E",10541,"10541E","10541N","0006-2979","1608-3040","MAIK Nauka/Interperiodica","E",1,75,13,"USD",5241,"USD",6289.2,91,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. See also combined subscription Biochemistry (Moscow) combined subscription with supplemental series A & B. ",
"Biochemistry (Moscow) Combined offer","Biochemistry (Moscow) combined subscription with supplemental series A & B","P E",11860,"11860E","11860N",,,"MAIK Nauka/Interperiodica","E",,,,"USD",5839,"USD",7006.8,147,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. Combined subscription. ",
"Biochemistry (Moscow) Supplemental Series A: Membrane Cell Biology","Biochemistry (Moscow) Supplement Series A: Membrane and Cell Biology","P E",11827,"11827E","11827N","1990-7478","1990-7494","MAIK Nauka/Interperiodica","E",1,4,4,"USD",1028,"USD",1233.6,28,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. See also combined subscription Biochemistry (Moscow) combined subscription with supplemental series A & B. ",
"Biochemistry (Moscow) Supplemental Series B: Biomedical Chemistry","Biochemistry (Moscow) Supplement Series B: Biomedical Chemistry","P E",11828,"11828E","11828N","1990-7508","1990-7516","MAIK Nauka/Interperiodica","E",1,4,4,"USD",1028,"USD",1233.6,28,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. See also combined subscription Biochemistry (Moscow) combined subscription with supplemental series A & B. ",
"BioChip Journal","BioChip Journal","P E",13206,"13206E","13206N","1976-0280","2092-7843","The Korean BioChip Society, co-published with Springer","E",1,4,4,"USD",470,"USD",564,28,"New in 2010","Take-over in 2010. Addendum Journals Price List. Exclusive distribution rights for print version outside Korea, for electronic version worldwide. ",
